RAP	MSU
Os01g0153400	LOC_Os01g06020
Os01g0153800	LOC_Os01g06060
None	LOC_Os01g06210
Os01g0155000	LOC_Os01g06220
Os01g0155100	LOC_Os01g06230
Os01g0155200	LOC_Os01g06240
Os01g0155400	LOC_Os01g06270
Os01g0155500	LOC_Os01g06280
Os01g0155600	LOC_Os01g06290
Os01g0157800	LOC_Os01g06454
Os01g0158200	LOC_Os01g06490
Os01g0158400	LOC_Os01g06500
Os01g0158500	LOC_Os01g06510
Os01g0158600	LOC_Os01g06520
Os01g0158900	LOC_Os01g06550
Os01g0159300	LOC_Os01g06590
Os01g0159400	LOC_Os01g06600
Os01g0159800	LOC_Os01g06640
Os01g0160100	LOC_Os01g06660
Os01g0160200	LOC_Os01g06670
Os01g0160600	LOC_Os01g06720
Os01g0160700	LOC_Os01g06730
Os01g0160800	LOC_Os01g06740
Os01g0161000	LOC_Os01g06760
Os01g0161300	LOC_Os01g06790
Os01g0162500	LOC_Os01g06890
Os01g0162800	LOC_Os01g06900
Os01g0163000	LOC_Os01g06920
Os01g0164300	LOC_Os01g07060
Os01g0164400	LOC_Os01g07070
Os01g0164500	LOC_Os01g07080
Os01g0164700	LOC_Os01g07100
Os01g0164900	LOC_Os01g07110
Os01g0164800	LOC_Os01g07110
Os01g0165000	LOC_Os01g07120
Os01g0165200	LOC_Os01g07140
Os01g0165600	LOC_Os01g07150
Os01g0165800	LOC_Os01g07170
Os01g0166100	LOC_Os01g07200
Os01g0166700	LOC_Os01g07250
Os01g0166800	LOC_Os01g07260
Os01g0167000	LOC_Os01g07280
Os01g0167500	LOC_Os01g07310
Os01g0168200	LOC_Os01g07376
Os01g0168300	LOC_Os01g07382
Os01g0168400	LOC_Os01g07390
Os01g0168500	LOC_Os01g07400
Os01g0168800	LOC_Os01g07420
Os01g0169400	LOC_Os01g07480
Os01g0169800	LOC_Os01g07500
Os01g0170000	LOC_Os01g07530
Os01g0170100	LOC_Os01g07540
Os01g0170300	LOC_Os01g07560
Os01g0171000	LOC_Os01g07630
Os01g0171100	LOC_Os01g07640
Os01g0172000	LOC_Os01g07720
Os01g0172100	LOC_Os01g07730
Os01g0172200	LOC_Os01g07740
Os01g0172400	LOC_Os01g07760
Os01g0172900	LOC_Os01g07790
Os01g0173600	LOC_Os01g07850
Os01g0173900	LOC_Os01g07870
Os01g0174000	LOC_Os01g07880
Os01g0174300	LOC_Os01g07910
Os01g0174600	LOC_Os01g07930
Os01g0174700	LOC_Os01g07940
Os01g0174900	LOC_Os01g07950
Os01g0175000	LOC_Os01g07960
None	LOC_Os01g07980
Os01g0175400	LOC_Os01g08000
Os01g0175700	LOC_Os01g08020
Os01g0175600	LOC_Os01g08020
NA	LOC_Os01g08080
Os01g0176000	LOC_Os01g08090
Os01g0176100	LOC_Os01g08100
Os01g0176200	LOC_Os01g08110
Os01g0176700	LOC_Os01g08160
Os01g0177100	LOC_Os01g08190
Os01g0177200	LOC_Os01g08200
Os01g0177400	LOC_Os01g08220
Os01g0177900	LOC_Os01g08260
Os01g0178100	LOC_Os01g08280
Os01g0178200	LOC_Os01g08290
Os01g0178400	LOC_Os01g08310
Os01g0178600	LOC_Os01g08330
None	LOC_Os01g08350
Os01g0179200	LOC_Os01g08400
Os01g0179600	LOC_Os01g08440
Os01g0179700	LOC_Os01g08450
Os01g0180600	LOC_Os01g08540
Os01g0180800	LOC_Os01g08560
Os01g0182200	LOC_Os01g08660
Os01g0182600	LOC_Os01g08700
Os01g0182700	LOC_Os01g08710
Os01g0183000	LOC_Os01g08760
Os01g0183100	LOC_Os01g08770
Os01g0183300	LOC_Os01g08780
Os01g0183400	LOC_Os01g08790
Os01g0183500	LOC_Os01g08800
Os01g0183600	LOC_Os01g08810
Os01g0184000	LOC_Os01g08850
Os01g0184100	LOC_Os01g08860
Os01g0184500	LOC_Os01g08930
Os01g0184800	LOC_Os01g08960
Os01g0184900	LOC_Os01g08970
Os01g0185200	LOC_Os01g09000
Os01g0186200	LOC_Os01g09120
Os01g0186700	LOC_Os01g09200
Os01g0187400	LOC_Os01g09246
Os01g0187500	LOC_Os01g09252
Os01g0187600	LOC_Os01g09260
Os01g0188100	LOC_Os01g09300
Os01g0188400	LOC_Os01g09320
Os01g0188900	LOC_Os01g09370
Os01g0189100	LOC_Os01g09384
Os01g0190400	LOC_Os01g09460
Os01g0191100	LOC_Os01g09510
Os01g0191500	LOC_Os01g09560
Os01g0191700	LOC_Os01g09570
Os01g0191800	LOC_Os01g09580
Os01g0192000	LOC_Os01g09620
Os01g0192600	LOC_Os01g09670
Os01g0192900	LOC_Os01g09700
None	LOC_Os01g09720
Os01g0193600	LOC_Os01g09750
Os01g0194300	LOC_Os01g09800
Os01g0194600	LOC_Os01g09830
Os01g0195000	LOC_Os01g09850
Os01g0195066	LOC_Os01g09850
Os01g0195200	LOC_Os01g09860
Os01g0195500	LOC_Os01g09890
Os01g0195700	LOC_Os01g09900
Os01g0195801	LOC_Os01g09900
None	LOC_Os01g09930
Os01g0196300	LOC_Os01g09990
Os01g0196500	LOC_Os01g10010
Os01g0196600	LOC_Os01g10020
Os01g0197100	LOC_Os01g10040
Os01g0197200	LOC_Os01g10050
Os01g0197450	LOC_Os01g10090
Os01g0197700	LOC_Os01g10110
Os01g0197900	LOC_Os01g10130
Os01g0198000	LOC_Os01g10140
Os01g0198200	LOC_Os01g10150
Os01g0199350	LOC_Os01g10240
Os01g0199400	LOC_Os01g10250
Os01g0199900	LOC_Os01g10280
Os01g0200000	LOC_Os01g10290
Os01g0200300	LOC_Os01g10320
Os01g0200400	LOC_Os01g10340
Os01g0200500	LOC_Os01g10350
Os01g0200600	LOC_Os01g10370
Os01g0201000	LOC_Os01g10430
Os01g0201200	LOC_Os01g10450
Os01g0201500	LOC_Os01g10480
Os01g0201700	LOC_Os01g10504
Os01g0202700	LOC_Os01g10590
Os01g0202800	LOC_Os01g10600
Os01g0203000	LOC_Os01g10610
None	LOC_Os01g10700
None	LOC_Os01g10710
Os01g0205100	LOC_Os01g10790
Os01g0205300	LOC_Os01g10810
Os01g0205500	LOC_Os01g10820
Os01g0205700	LOC_Os01g10840
Os01g0206300	LOC_Os01g10870
Os01g0206600	LOC_Os01g10880
Os01g0206700	LOC_Os01g10890
Os01g0206800	LOC_Os01g10900
Os01g0207300	LOC_Os01g10940
Os01g0208600	LOC_Os01g11040
Os01g0208700	LOC_Os01g11054
Os01g0209000	LOC_Os01g11070
Os01g0209200	LOC_Os01g11110
Os01g0209400	LOC_Os01g11120
Os01g0209500	LOC_Os01g11130
Os01g0209700	LOC_Os01g11150
Os01g0209800	LOC_Os01g11160
Os01g0210500	LOC_Os01g11230
Os01g0210700	LOC_Os01g11250
Os01g0210800	LOC_Os01g11260
Os01g0210900	LOC_Os01g11270
Os01g0211000	LOC_Os01g11280
Os01g0211200	LOC_Os01g11300
Os01g0211600	LOC_Os01g11340
Os01g0211800	LOC_Os01g11350
Os01g0212100	LOC_Os01g11370
Os01g0212400	LOC_Os01g11414
Os01g0212700	LOC_Os01g11460
NA	LOC_Os01g11500
Os01g0213300	LOC_Os01g11510
Os01g0213800	LOC_Os01g11550
Os01g0214200	LOC_Os01g11570
Os01g0214300	LOC_Os01g11580
Os01g0214600	LOC_Os01g11620
Os01g0214800	LOC_Os01g11650
Os01g0215100	LOC_Os01g11670
Os01g0215500	LOC_Os01g11700
Os01g0215700	LOC_Os01g11710
Os01g0216000	LOC_Os01g11730
Os01g0216400	LOC_Os01g11750
Os01g0217000	LOC_Os01g11810
Os01g0217500	LOC_Os01g11860
Os01g0217800	LOC_Os01g11880
Os01g0218032	LOC_Os01g11900
Os01g0218500	LOC_Os01g11940
Os01g0218700	LOC_Os01g11946
Os01g0218800	LOC_Os01g11952
Os01g0219000	LOC_Os01g11970
Os01g0219100	LOC_Os01g11980
Os01g0219600	LOC_Os01g12030
Os01g0220100	LOC_Os01g12070
Os01g0220300	LOC_Os01g12090
Os01g0220700	LOC_Os01g12130
Os01g0221100	LOC_Os01g12160
Os01g0221500	LOC_Os01g12200
Os01g0221900	LOC_Os01g12230
Os01g0222500	LOC_Os01g12260
Os01g0222700	LOC_Os01g12280
Os01g0222800	LOC_Os01g12290
None	LOC_Os01g12310
Os01g0223600	LOC_Os01g12390
Os01g0223700	LOC_Os01g12400
Os01g0223800	LOC_Os01g12410
Os01g0223900	LOC_Os01g12420
Os01g0224000	LOC_Os01g12430
Os01g0224100	LOC_Os01g12440
Os01g0224400	LOC_Os01g12470
Os01g0225000	LOC_Os01g12520
Os01g0225100	LOC_Os01g12530
Os01g0225200	LOC_Os01g12540
Os01g0225400	LOC_Os01g12560
Os01g0225500	LOC_Os01g12570
Os01g0225600	LOC_Os01g12580
Os01g0226300	LOC_Os01g12650
Os01g0226500	LOC_Os01g12670
Os01g0226600	LOC_Os01g12680
Os01g0227100	LOC_Os01g12710
Os01g0227200	LOC_Os01g12720
Os01g0227300	LOC_Os01g12730
Os01g0227400	LOC_Os01g12740
Os01g0227500	LOC_Os01g12750
Os01g0227700	LOC_Os01g12760
Os01g0227800	LOC_Os01g12770
None	LOC_Os01g12790
Os01g0228300	LOC_Os01g12800
Os01g0228400	LOC_Os01g12810
Os01g0228600	LOC_Os01g12830
Os01g0229000	LOC_Os01g12860
Os01g0229100	LOC_Os01g12870
Os01g0229200	LOC_Os01g12880
Os01g0229300	LOC_Os01g12890
Os01g0229400	LOC_Os01g12900
Os01g0229700	LOC_Os01g12930
Os01g0229800	LOC_Os01g12940
Os01g0229900	LOC_Os01g12950
Os01g0230200	LOC_Os01g13000
Os01g0231000	LOC_Os01g13030
Os01g0231500	LOC_Os01g13060
Os01g0231600	LOC_Os01g13070
Os01g0231700	LOC_Os01g13080
Os01g0231800	LOC_Os01g13090
Os01g0231900	LOC_Os01g13100
Os01g0232000	LOC_Os01g13120
Os01g0232100	LOC_Os01g13130
Os01g0232300	LOC_Os01g13150
Os01g0232400	LOC_Os01g13160
Os01g0232500	LOC_Os01g13170
Os01g0232700	LOC_Os01g13190
Os01g0233100	LOC_Os01g13229
Os01g0233400	LOC_Os01g13250
Os01g0233500	LOC_Os01g13260
Os01g0233800	LOC_Os01g13270
Os01g0233900	LOC_Os01g13280
Os01g0234100	LOC_Os01g13300
Os01g0234200	LOC_Os01g13310
Os01g0234499	LOC_Os01g13320
Os01g0234300	LOC_Os01g13320
Os01g0234800	LOC_Os01g13350
Os01g0234850	LOC_Os01g13360
Os01g0234900	LOC_Os01g13370
Os01g0235200	LOC_Os01g13404
Os01g0235400	LOC_Os01g13430
Os01g0235700	LOC_Os01g13460
Os01g0235800	LOC_Os01g13470
Os01g0235900	LOC_Os01g13480
Os01g0236300	LOC_Os01g13520
Os01g0236700	LOC_Os01g13540
Os01g0236800	LOC_Os01g13550
Os01g0237750	LOC_Os01g13610
Os01g0237500	LOC_Os01g13610
Os01g0238800	LOC_Os01g13720
Os01g0238900	LOC_Os01g13730
Os01g0239000	LOC_Os01g13740
Os01g0239100	LOC_Os01g13760
Os01g0239200	LOC_Os01g13770
Os01g0239700	LOC_Os01g13800
Os01g0241400	LOC_Os01g13950
Os01g0242200	LOC_Os01g14010
Os01g0242300	LOC_Os01g14020
Os01g0242500	LOC_Os01g14040
Os01g0242600	LOC_Os01g14050
Os01g0243100	LOC_Os01g14090
Os01g0243400	LOC_Os01g14110
Os01g0246100	LOC_Os01g14370
Os01g0246400	LOC_Os01g14410
Os01g0246500	LOC_Os01g14420
Os01g0246700	LOC_Os01g14440
Os01g0247500	LOC_Os01g14510
Os01g0247700	LOC_Os01g14520
Os01g0248400	LOC_Os01g14580
Os01g0248600	LOC_Os01g14610
Os01g0248701	LOC_Os01g14630
Os01g0248900	LOC_Os01g14650
Os01g0249100	LOC_Os01g14660
Os01g0249700	LOC_Os01g14700
Os01g0250900	LOC_Os01g14810
Os01g0251000	LOC_Os01g14820
Os01g0251100	LOC_Os01g14830
Os01g0251200	LOC_Os01g14840
Os01g0252100	LOC_Os01g14860
Os01g0253000	LOC_Os01g14926
Os01g0253100	LOC_Os01g14932
Os01g0253300	LOC_Os01g14950
Os01g0253600	LOC_Os01g14980
Os01g0253900	LOC_Os01g15000
Os01g0254000	LOC_Os01g15010
Os01g0254100	LOC_Os01g15020
Os01g0254300	LOC_Os01g15039
Os01g0254850	LOC_Os01g15100
Os01g0254900	LOC_Os01g15110
Os01g0255000	LOC_Os01g15120
Os01g0255100	LOC_Os01g15130
Os01g0256400	LOC_Os01g15260
Os01g0256600	LOC_Os01g15290
Os01g0256800	LOC_Os01g15300
Os01g0256900	LOC_Os01g15310
Os01g0257100	LOC_Os01g15320
Os01g0257300	LOC_Os01g15340
Os01g0259200	LOC_Os01g15470
Os01g0259400	LOC_Os01g15480
Os01g0259600	LOC_Os01g15490
Os01g0259900	LOC_Os01g15520
Os01g0260100	LOC_Os01g15540
NA	LOC_Os01g15580
Os01g0260700	LOC_Os01g15600
Os01g0261100	LOC_Os01g15630
Os01g0261500	LOC_Os01g15660
Os01g0262600	LOC_Os01g15780
Os01g0263300	LOC_Os01g15830
Os01g0263400	LOC_Os01g15840
Os01g0263500	LOC_Os01g15850
Os01g0263600	LOC_Os01g15860
Os01g0264000	LOC_Os01g15900
Os01g0264500	LOC_Os01g15979
Os01g0264600	LOC_Os01g15990
Os01g0264700	LOC_Os01g16000
Os01g0264900	LOC_Os01g16010
Os01g0265000	LOC_Os01g16020
Os01g0265100	LOC_Os01g16030
Os01g0265200	LOC_Os01g16040
Os01g0265800	LOC_Os01g16090
Os01g0265900	LOC_Os01g16100
Os01g0266000	LOC_Os01g16110
Os01g0266500	LOC_Os01g16146
Os01g0266600	LOC_Os01g16152
Os01g0266800	LOC_Os01g16170
Os01g0267100	LOC_Os01g16180
Os01g0267200	LOC_Os01g16190
Os01g0267300	LOC_Os01g16200
Os01g0267600	LOC_Os01g16220
Os01g0267900	LOC_Os01g16240
Os01g0268100	LOC_Os01g16260
Os01g0268300	LOC_Os01g16290
Os01g0268600	LOC_Os01g16310
Os01g0268800	LOC_Os01g16330
Os01g0269000	LOC_Os01g16350
Os01g0269100	LOC_Os01g16354
Os01g0269500	LOC_Os01g16370
Os01g0269700	LOC_Os01g16390
Os01g0269800	LOC_Os01g16400
Os01g0269900	LOC_Os01g16414
Os01g0270100	LOC_Os01g16430
Os01g0270300	LOC_Os01g16450
Os01g0271000	LOC_Os01g16510
Os01g0271200	LOC_Os01g16520
Os01g0271400	LOC_Os01g16530
Os01g0271500	LOC_Os01g16540
Os01g0271700	LOC_Os01g16550
Os01g0272700	LOC_Os01g16610
Os01g0273100	LOC_Os01g16650
Os01g0273300	LOC_Os01g16670
NA	LOC_Os01g16680
Os01g0274500	LOC_Os01g16770
Os01g0274800	LOC_Os01g16810
Os01g0275600	LOC_Os01g16870
Os01g0276000	LOC_Os01g16890
Os01g0276100	LOC_Os01g16900
Os01g0276200	LOC_Os01g16910
Os01g0276400	LOC_Os01g16930
Os01g0276500	LOC_Os01g16940
Os01g0276700	LOC_Os01g16960
Os01g0276800	LOC_Os01g16970
Os01g0277600	LOC_Os01g17010
None	LOC_Os01g17030
None	LOC_Os01g17040
Os01g0278900	LOC_Os01g17150
Os01g0278950	LOC_Os01g17160
Os01g0279000	LOC_Os01g17160
Os01g0279100	LOC_Os01g17170
Os01g0279200	LOC_Os01g17180
Os01g0279300	LOC_Os01g17190
Os01g0279400	LOC_Os01g17214
Os01g0279700	LOC_Os01g17240
Os01g0279900	LOC_Os01g17260
Os01g0280500	LOC_Os01g17330
Os01g0281000	LOC_Os01g17390
Os01g0281200	LOC_Os01g17402
Os01g0281400	LOC_Os01g17430
Os01g0282800	LOC_Os01g18050
Os01g0283100	LOC_Os01g18070
Os01g0283600	LOC_Os01g18110
Os01g0283700	LOC_Os01g18120
Os01g0284500	LOC_Os01g18170
Os01g0284700	LOC_Os01g18210
Os01g0285300	LOC_Os01g18240
Os01g0286000	LOC_Os01g18280
Os01g0285950	LOC_Os01g18280
Os01g0286600	LOC_Os01g18320
Os01g0286900	LOC_Os01g18360
Os01g0287600	LOC_Os01g18400
None	LOC_Os01g18420
Os01g0288100	LOC_Os01g18440
Os01g0290000	LOC_Os01g18630
Os01g0290600	LOC_Os01g18660
Os01g0290700	LOC_Os01g18670
Os01g0292200	LOC_Os01g18800
Os01g0292300	LOC_Os01g18810
Os01g0293000	LOC_Os01g18860
Os01g0293100	LOC_Os01g18870
Os01g0293200	LOC_Os01g18880
None	LOC_Os01g18890
Os01g0295700	LOC_Os01g19130
Os01g0296100	LOC_Os01g19150
Os01g0296000	LOC_Os01g19160
Os01g0296200	LOC_Os01g19170
None	LOC_Os01g19210
Os01g0296700	LOC_Os01g19220
Os01g0297200	LOC_Os01g19260
Os01g0298400	LOC_Os01g19330
Os01g0299400	LOC_Os01g19400
Os01g0300000	LOC_Os01g19430
Os01g0300100	LOC_Os01g19440
Os01g0300200	LOC_Os01g19450
Os01g0300600	LOC_Os01g19470
Os01g0300900	LOC_Os01g19480
Os01g0302500	LOC_Os01g19694
Os01g0303000	LOC_Os01g19740
Os01g0303100	LOC_Os01g19750
Os01g0303800	LOC_Os01g19820
Os01g0304000	LOC_Os01g19840
Os01g0304100	LOC_Os01g19850
Os01g0306800	LOC_Os01g20110
Os01g0307500	LOC_Os01g20160
Os01g0307686	LOC_Os01g20206
Os01g0309800	LOC_Os01g20830
Os01g0309900	LOC_Os01g20840
Os01g0310100	LOC_Os01g20860
Os01g0310500	LOC_Os01g20880
Os01g0310800	LOC_Os01g20900
Os01g0311500	LOC_Os01g20940
Os01g0311600	LOC_Os01g20950
Os01g0311800	LOC_Os01g20980
Os01g0312500	LOC_Os01g21034
Os01g0312800	LOC_Os01g21070
Os01g0313300	LOC_Os01g21120
Os01g0314100	LOC_Os01g21160
Os01g0314300	LOC_Os01g21180
Os01g0314700	LOC_Os01g21240
Os01g0315700	LOC_Os01g21310
Os01g0315800	LOC_Os01g21320
Os01g0316100	LOC_Os01g21380
Os01g0316500	LOC_Os01g21410
Os01g0316600	LOC_Os01g21420
Os01g0316550	LOC_Os01g21420
Os01g0317800	LOC_Os01g21560
Os01g0318400	LOC_Os01g21590
Os01g0321300	LOC_Os01g21820
Os01g0321700	LOC_Os01g21850
Os01g0321800	LOC_Os01g21860
Os01g0322800	LOC_Os01g21940
Os01g0323000	LOC_Os01g21960
Os01g0323100	LOC_Os01g21970
Os01g0323300	LOC_Os01g21990
Os01g0323600	LOC_Os01g22010
Os01g0327000	LOC_Os01g22336
Os01g0327400	LOC_Os01g22370
Os01g0327600	LOC_Os01g22390
Os01g0328400	LOC_Os01g22490
Os01g0328500	LOC_Os01g22500
Os01g0328700	LOC_Os01g22520
Os01g0328900	LOC_Os01g22550
Os01g0329400	LOC_Os01g22600
Os01g0329900	LOC_Os01g22640
Os01g0330100	LOC_Os01g22660
Os01g0330600	LOC_Os01g22710
Os01g0331100	LOC_Os01g22780
Os01g0331900	LOC_Os01g22870
Os01g0332100	LOC_Os01g22900
NA	LOC_Os01g22920
Os01g0332500	LOC_Os01g22954
Os01g0332800	LOC_Os01g22980
Os01g0332900	LOC_Os01g22990
Os01g0335700	LOC_Os01g23380
Os01g0337600	LOC_Os01g23590
Os01g0337900	LOC_Os01g23610
Os01g0338000	LOC_Os01g23620
Os01g0338100	LOC_Os01g23630
Os01g0338200	LOC_Os01g23640
Os01g0338600	LOC_Os01g23680
Os01g0339900	LOC_Os01g23740
Os01g0340100	LOC_Os01g23760
Os01g0340400	LOC_Os01g23780
Os01g0342200	LOC_Os01g23970
