name,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,dataset 1 (728 proteins),dataset 2 (133 proteins),Degree,Eccentricity,IsSingleNode,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,pathways,Radiality,selected,SelfLoops,shared name,status D1,status D2,Stress,TopologicalCoefficient,Unweighted graph predicted proteins (dataset 1),Unweighted graph predicted proteins (dataset 2),Weighted graph predicted proteins (dataset 1),Weighted graph predicted proteins (dataset 2)
LOC_Os02g02670,4.633598421,0,0.215814991,0,0,0,1,9,false,2,0,1,0,,0.998619978,false,0,LOC_Os02g02670,N/A,HIGH CONFIDENCE,0,0,0,1,0,1
LOC_Os03g62400,4.677192779,0,0.21380346,0,0,0,1,9,false,2,0,1,0,,0.998603421,false,0,LOC_Os03g62400,N/A,N/A,0,0,0,0,0,0
LOC_Os04g42200,4.417368085,0,0.226379143,0,0,0,1,9,false,2,0,1,0,,0.998702101,false,0,LOC_Os04g42200,N/A,N/A,0,0,0,0,0,0
LOC_Os07g41810,4.937365763,1.16E-04,0.202537152,0,0,0,2,9,false,2,0,2,0,,0.998504609,false,0,LOC_Os07g41810,MEDIUM CONFIDENCE (Unweighted),N/A,4007080,0.5,1,0,0,0
LOC_Os07g41820,5.937307715,0,0.168426507,0,0,0,1,10,false,2,0,1,0,,0.998124836,false,0,LOC_Os07g41820,MEDIUM CONFIDENCE (Weighted),HIGH CONFIDENCE,0,0,0,1,1,1
LOC_Os10g02584,4.493179312,0,0.222559558,0,0,0,1,9,false,3,0,1,0,,0.998673308,false,0,LOC_Os10g02584,N/A,MEDIUM CONFIDENCE (Weighted),0,0,0,0,0,1
LOC_Os09g25290,4.896731874,0,0.204217839,0,0,0,1,9,false,5,0,1,0,,0.998520041,false,0,LOC_Os09g25290,N/A,N/A,0,0,0,0,0,0
LOC_Os04g51070,4.231671214,0,0.236313255,0,0,0,1,9,false,11,0,1,0,,0.998772628,false,0,LOC_Os04g51070,N/A,MEDIUM CONFIDENCE (Weighted),0,0,0,0,0,1
LOC_Os07g11410,5.052069426,0,0.197938689,1,0,0,4,10,false,4.5,0,4,0,,0.998461045,false,0,LOC_Os07g11410,N/A,N/A,0,0.75,0,0,0,0
LOC_Os07g11510,5.052069426,0,0.197938689,1,0,0,4,10,false,4.5,0,4,0,,0.998461045,false,0,LOC_Os07g11510,N/A,N/A,0,0.75,0,0,0,0
LOC_Os07g11360,5.052069426,0,0.197938689,1,0,0,4,10,false,4.5,0,4,0,,0.998461045,false,0,LOC_Os07g11360,N/A,N/A,0,0.75,0,0,0,0
LOC_Os06g51380,6.015208684,0,0.166245271,0,0,0,1,10,false,2,0,1,0,,0.998095249,false,0,LOC_Os06g51380,N/A,N/A,0,0,0,0,0,0
LOC_Os12g24040,5.17147501,0,0.193368429,0,0,0,1,9,false,4,0,1,0,,0.998415695,false,0,LOC_Os12g24040,MEDIUM CONFIDENCE (Weighted),HIGH CONFIDENCE,0,0,0,1,1,1
LOC_Os12g30590,4.656063157,0,0.214773719,0,0,0,1,10,false,2,0,1,0,,0.998611446,false,0,LOC_Os12g30590,N/A,N/A,0,0,0,0,0,0
LOC_Os09g23650,4.519068903,0,0.221284522,0,0,0,1,9,false,3,0,1,0,,0.998663476,false,0,LOC_Os09g23650,N/A,N/A,0,0,0,0,0,0
LOC_Os07g48870,4.690079526,0,0.213216001,0,0,0,1,9,false,2,0,1,0,,0.998598527,false,0,LOC_Os07g48870,MEDIUM CONFIDENCE (Weighted),MEDIUM CONFIDENCE (Weighted),0,0,0,0,1,1
LOC_Os09g24240,7.287281593,0,0.137225382,0,0,0,1,11,false,2,0,1,0,aerobic respiration I (cytochrome c),0.997612122,false,0,LOC_Os09g24240,N/A,N/A,0,0,0,0,0,0
LOC_Os01g33070,6.287339641,1.16E-04,0.159049782,0,0,0,2,10,false,1.5,0,2,0,aerobic respiration I (cytochrome c),0.997991895,false,0,LOC_Os01g33070,MEDIUM CONFIDENCE (Weighted),N/A,3301512,0.5,0,0,1,0
LOC_Os12g10184,4.287804029,3.48E-04,0.233219614,0,0,0,2,8,false,4.5,0,2,0,,0.998751309,false,0,LOC_Os12g10184,N/A,N/A,9904524,0.5,0,0,0,0
LOC_Os06g27790,5.287513786,2.32E-04,0.189124802,0,0,0,2,9,false,2,0,2,0,,0.998371624,false,0,LOC_Os06g27790,N/A,MEDIUM CONFIDENCE (Weighted),6603020,0.5,0,0,0,1
LOC_Os10g22460,4.330237418,0,0.23093422,0,0,0,1,9,false,3,0,1,0,,0.998735193,false,0,LOC_Os10g22460,N/A,MEDIUM CONFIDENCE (Weighted),0,0,0,0,0,1
LOC_Os01g74480,5.505775817,0,0.181627446,0,0,0,1,10,false,2,0,1,0,,0.998288729,false,0,LOC_Os01g74480,N/A,HIGH CONFIDENCE,0,0,0,1,0,1
LOC_Os12g44230,3.62082777,0,0.276179941,0,0,0,1,8,false,168,0,1,0,glucose and glucose-1-phosphate degradation,0.999004623,false,0,LOC_Os12g44230,N/A,N/A,0,0,0,0,0,0
LOC_Os01g35160,3.777732629,0,0.264709046,0,0,0,1,8,false,41,0,1,0,,0.998945031,false,0,LOC_Os01g35160,N/A,N/A,0,0,0,0,0,0
LOC_Os11g25060,5.225750276,0,0.191360082,0,0,0,1,10,false,2,0,1,0,,0.998395082,false,0,LOC_Os11g25060,N/A,HIGH CONFIDENCE,0,0,0,1,0,1
LOC_Os10g40934,5.170836478,0,0.193392308,0,0,0,1,10,false,3,0,1,0,,0.998415938,false,0,LOC_Os10g40934,MEDIUM CONFIDENCE (Weighted),MEDIUM CONFIDENCE (Weighted),0,0,0,0,1,1
LOC_Os04g49194,5.223834678,1.16E-04,0.191430254,0,0,0,2,10,false,2.5,0,2,0,flavonoid biosynthesis (in equisetum)//flavonoid biosynthesis,0.998395809,false,0,LOC_Os04g49194,N/A,MEDIUM CONFIDENCE (Weighted),4185856,0.5,0,0,0,1
LOC_Os05g25770,5.22888489,0,0.191245365,0,0,0,1,10,false,4,0,1,0,,0.998393891,false,0,LOC_Os05g25770,MEDIUM CONFIDENCE (Weighted),MEDIUM CONFIDENCE (Weighted),0,0,0,0,1,1
LOC_Os07g03120,4.646020781,0,0.215237952,0,1,0,1,9,false,4,0,1,0,,0.99861526,false,0,LOC_Os07g03120,TRAINING,N/A,0,0,1,0,1,0
LOC_Os01g54510,4.093515992,0,0.244288773,0,0,0,1,9,false,10,0,1,0,,0.998825098,false,0,LOC_Os01g54510,N/A,N/A,0,0,0,0,0,0
LOC_Os05g45230,4.56562373,0,0.219028124,0,1,0,1,9,false,3,0,1,0,,0.998645794,false,0,LOC_Os05g45230,TRAINING,N/A,0,0,1,0,1,0
LOC_Os09g36810,4.233180473,0,0.236229002,1,0,0,3,9,false,4.333333333,0,3,0,,0.998772055,false,0,LOC_Os09g36810,HIGH CONFIDENCE,MEDIUM CONFIDENCE (Weighted),0,0.619047619,1,0,1,1
LOC_Os08g43570,4.233180473,0,0.236229002,1,0,0,3,9,false,4.333333333,0,3,0,,0.998772055,false,0,LOC_Os08g43570,N/A,N/A,0,0.619047619,0,0,0,0
LOC_Os01g25630,4.945028153,0,0.202223318,0,0,0,1,9,false,3,0,1,0,,0.998501698,false,0,LOC_Os01g25630,N/A,HIGH CONFIDENCE,0,0,0,1,0,1
LOC_Os11g41170,4.322400882,0,0.231352905,0,0,0,1,9,false,8,0,1,0,,0.998738169,false,0,LOC_Os11g41170,N/A,HIGH CONFIDENCE,0,0,0,1,0,1
LOC_Os11g12330,4.322400882,0,0.231352905,0,0,0,1,9,false,8,0,1,0,,0.998738169,false,0,LOC_Os11g12330,N/A,MEDIUM CONFIDENCE (Unweighted),0,0,0,1,0,0
LOC_Os06g15380,4.778835549,0,0.209255998,0,0,0,1,9,false,2,0,1,0,,0.998564817,false,0,LOC_Os06g15380,MEDIUM CONFIDENCE (Weighted),MEDIUM CONFIDENCE (Unweighted),0,0,0,1,1,0
LOC_Os12g14110,4.621292158,0,0.216389695,0,0,0,1,9,false,3,0,1,0,,0.998624652,false,0,LOC_Os12g14110,MEDIUM CONFIDENCE (Weighted),N/A,0,0,0,0,1,0
LOC_Os08g37130,4.086550183,0,0.24470518,0,0,0,1,9,false,4,0,1,0,,0.998827744,false,0,LOC_Os08g37130,N/A,N/A,0,0,0,0,0,0
LOC_Os11g24060,4.482440355,0,0.223092762,0,0,0,1,9,false,3,0,1,0,,0.998677387,false,0,LOC_Os11g24060,N/A,HIGH CONFIDENCE,0,0,0,1,0,1
LOC_Os11g13420,5.12027631,0,0.19530196,0,0,0,1,9,false,2,0,1,0,,0.99843514,false,0,LOC_Os11g13420,N/A,N/A,0,0,0,0,0,0
LOC_Os11g32580,4.531723457,0,0.220666598,0,0,0,1,9,false,7,0,1,0,6-gingerol analog biosynthesis (engineered),0.998658669,false,0,LOC_Os11g32580,HIGH CONFIDENCE,MEDIUM CONFIDENCE (Unweighted),0,0,1,1,1,0
LOC_Os11g24550,5.065188367,0,0.197426024,0,0,0,1,10,false,4,0,1,0,,0.998456062,false,0,LOC_Os11g24550,N/A,N/A,0,0,0,0,0,0
LOC_Os05g06240,5.043420212,3.94E-08,0.198278144,0,0,0,2,10,false,4,0,2,0,,0.99846433,false,0,LOC_Os05g06240,N/A,N/A,84,0.6,0,0,0,0
LOC_Os09g14600,4.268299762,0,0.234285326,0,0,0,1,9,false,8,0,1,0,,0.998758716,false,0,LOC_Os09g14600,N/A,MEDIUM CONFIDENCE (Unweighted),0,0,0,1,0,0
LOC_Os08g03400,4.40146282,0,0.227197194,0,0,0,1,9,false,3,0,1,0,,0.998708142,false,0,LOC_Os08g03400,N/A,MEDIUM CONFIDENCE (Unweighted),0,0,0,1,0,0
LOC_Os02g10580,4.606896151,1.23E-07,0.217065887,0,0,0,2,9,false,2.5,0,2,0,,0.998630119,false,0,LOC_Os02g10580,MEDIUM CONFIDENCE (Unweighted),MEDIUM CONFIDENCE (Unweighted),408,0.5,1,1,0,0
LOC_Os07g44170,4.309165844,0,0.232063475,0,0,0,1,8,false,4,0,1,0,aerobic respiration I (cytochrome c),0.998743196,false,0,LOC_Os07g44170,N/A,N/A,0,0,0,0,0,0
LOC_Os06g21820,4.159517037,0,0.240412527,0,0,0,1,8,false,4,0,1,0,methyl indole-3-acetate interconversion,0.998800032,false,0,LOC_Os06g21820,N/A,MEDIUM CONFIDENCE (Unweighted),0,0,0,1,0,0
LOC_Os04g59020,4.806872932,0,0.208035456,0,0,0,1,9,false,3,0,1,0,,0.998554169,false,0,LOC_Os04g59020,N/A,MEDIUM CONFIDENCE (Unweighted),0,0,0,1,0,0
LOC_Os09g25080,4.782202357,0,0.209108675,0,0,0,1,9,false,2,0,1,0,,0.998563539,false,0,LOC_Os09g25080,MEDIUM CONFIDENCE (Weighted),MEDIUM CONFIDENCE (Weighted),0,0,0,0,1,1
LOC_Os01g39580,4.38683462,0,0.227954798,0,0,0,1,9,false,4,0,1,0,,0.998713697,false,0,LOC_Os01g39580,N/A,N/A,0,0,0,0,0,0
LOC_Os07g43220,4.292447902,2.32E-07,0.2329673,0.2,0,0,5,9,false,10.8,0,5,0,,0.998749545,false,0,LOC_Os07g43220,N/A,N/A,6732,0.335483871,0,0,0,0
LOC_Os10g35180,4.890868985,0,0.204462643,0,0,0,1,9,false,3,0,1,0,,0.998522268,false,0,LOC_Os10g35180,N/A,MEDIUM CONFIDENCE (Unweighted),0,0,0,1,0,0
LOC_Os09g25220,4.154815116,1.44E-07,0.240684597,0,0,0,3,9,false,11,0,3,0,,0.998801817,false,0,LOC_Os09g25220,N/A,MEDIUM CONFIDENCE (Weighted),850,0.344827586,0,0,0,1
LOC_Os11g39330,5.554884774,0,0.180021736,0,0,0,1,10,false,3,0,1,0,,0.998270078,false,0,LOC_Os11g39330,MEDIUM CONFIDENCE (Unweighted),MEDIUM CONFIDENCE (Weighted),0,0,1,0,0,1
LOC_Os04g43390,4.448191792,3.13E-07,0.22481045,0.166666667,0,0,4,9,false,5,0,4,0,,0.998690394,false,0,LOC_Os04g43390,MEDIUM CONFIDENCE (Unweighted),MEDIUM CONFIDENCE (Weighted),2058,0.3,1,0,0,1
LOC_Os05g30250,4.331340338,0,0.230875415,0,0,0,1,9,false,6,0,1,0,,0.998734774,false,0,LOC_Os05g30250,N/A,N/A,0,0,0,0,0,0
LOC_Os04g43380,4.279735299,0,0.233659311,1,0,0,2,9,false,6,0,2,0,,0.998754373,false,0,LOC_Os04g43380,N/A,MEDIUM CONFIDENCE (Weighted),0,0.6,0,0,0,1
LOC_Os03g38210,4.606605909,1.05E-07,0.217079563,0,0,0,2,9,false,3.5,0,2,0,,0.998630229,false,0,LOC_Os03g38210,N/A,N/A,584,0.5,0,0,0,0
LOC_Os01g18240,4.66616358,0,0.214308818,0,0,0,1,9,false,4,0,1,0,,0.99860761,false,0,LOC_Os01g18240,N/A,N/A,0,0,0,0,0,0
LOC_Os10g01640,3.958553434,0,0.252617532,0,0,0,1,9,false,30,0,1,0,,0.998876356,false,0,LOC_Os10g01640,MEDIUM CONFIDENCE (Unweighted),MEDIUM CONFIDENCE (Unweighted),0,0,1,1,0,0
LOC_Os10g02480,4.643466651,1.14E-07,0.215356344,0,0,0,2,9,false,2.5,0,2,0,2'-deoxymugineic acid phytosiderophore biosynthesis,0.99861623,false,0,LOC_Os10g02480,HIGH CONFIDENCE,MEDIUM CONFIDENCE (Unweighted),3886,0.5,1,1,1,0
LOC_Os07g20220,4.054623556,1.41E-07,0.246632021,0,0,0,2,8,false,16,0,2,0,,0.99883987,false,0,LOC_Os07g20220,N/A,MEDIUM CONFIDENCE (Unweighted),958,0.5,0,1,0,0
LOC_Os04g28990,4.816508968,0,0.207619254,1,0,0,2,9,false,5,0,2,0,,0.998550509,false,0,LOC_Os04g28990,HIGH CONFIDENCE,MEDIUM CONFIDENCE (Unweighted),0,0.714285714,1,1,1,0
LOC_Os11g44580,4.37806931,1.16E-04,0.228411185,0.333333333,0,0,3,9,false,6.666666667,0,3,0,,0.998717026,false,0,LOC_Os11g44580,N/A,N/A,6455424,0.452380952,0,0,0,0
LOC_Os07g29810,4.427468509,3.09E-08,0.225862702,0,0,0,2,9,false,5.5,0,2,0,,0.998698265,false,0,LOC_Os07g29810,N/A,HIGH CONFIDENCE,32,0.5,0,1,0,1
LOC_Os11g24170,4.319034074,2.50E-08,0.231533251,0,0,0,2,9,false,8.5,0,2,0,,0.998739448,false,0,LOC_Os11g24170,N/A,N/A,36,0.576923077,0,0,0,0
LOC_Os07g18874,4.48923202,0,0.22275525,0,0,0,1,9,false,7,0,1,0,,0.998674807,false,0,LOC_Os07g18874,MEDIUM CONFIDENCE (Weighted),MEDIUM CONFIDENCE (Unweighted),0,0,0,1,1,0
LOC_Os05g08540,5.579729494,0,0.179220158,0,0,0,1,10,false,2,0,1,0,gibberellin biosynthesis III (early C-13 hydroxylation)//gibberellin inactivation I (2&beta;-hydroxylation)//superpathway of gibberellin biosynthesis,0.998260642,false,0,LOC_Os05g08540,N/A,HIGH CONFIDENCE,0,0,0,1,0,1
LOC_Os03g63770,5.175306205,0,0.193225282,0,0,0,1,10,false,5,0,1,0,,0.99841424,false,0,LOC_Os03g63770,N/A,N/A,0,0,0,0,0,0
LOC_Os08g03870,4.491728101,0,0.222631463,0,0,0,1,9,false,6,0,1,0,,0.998673859,false,0,LOC_Os08g03870,N/A,MEDIUM CONFIDENCE (Unweighted),0,0,0,1,0,0
LOC_Os10g32850,4.289603529,0,0.233121778,0,0,0,1,9,false,13,0,1,0,,0.998750625,false,0,LOC_Os10g32850,N/A,HIGH CONFIDENCE,0,0,0,1,0,1
LOC_Os07g10730,4.745573809,0,0.210722673,0,0,0,1,9,false,5,0,1,0,,0.99857745,false,0,LOC_Os07g10730,N/A,MEDIUM CONFIDENCE (Weighted),0,0,0,0,0,1
LOC_Os03g59430,4.412550067,0,0.226626324,0,0,0,1,9,false,4,0,1,0,stachyose biosynthesis,0.998703931,false,0,LOC_Os03g59430,N/A,N/A,0,0,0,0,0,0
LOC_Os08g08190,4.496604168,0,0.222390044,0,0,0,1,9,false,4,0,1,0,,0.998672008,false,0,LOC_Os08g08190,N/A,MEDIUM CONFIDENCE (Unweighted),0,0,0,1,0,0
LOC_Os03g59170,4.496604168,0,0.222390044,0,0,0,1,9,false,4,0,1,0,,0.998672008,false,0,LOC_Os03g59170,N/A,MEDIUM CONFIDENCE (Weighted),0,0,0,0,0,1
LOC_Os03g58940,5.634643293,0,0.177473524,0,0,0,1,10,false,3,0,1,0,,0.998239786,false,0,LOC_Os03g58940,MEDIUM CONFIDENCE (Weighted),HIGH CONFIDENCE,0,0,0,1,1,1
LOC_Os06g06740,4.055320137,1.49E-05,0.246589657,0,0,0,2,8,false,20.5,0,2,0,,0.998839605,false,0,LOC_Os06g06740,N/A,N/A,471674,0.5,0,0,0,0
LOC_Os09g39060,4.182039821,0,0.239117761,0,0,0,1,9,false,16,0,1,0,,0.998791477,false,0,LOC_Os09g39060,N/A,N/A,0,0,0,0,0,0
LOC_Os11g47350,7.092006734,0,0.141003814,0,0,0,1,12,false,2,0,1,0,"(1,4)-&beta;-D-xylan degradation",0.997686287,false,0,LOC_Os11g47350,N/A,N/A,0,0,0,0,0,0
LOC_Os03g53790,6.092064782,1.16E-04,0.164147959,0,0,0,2,11,false,1.5,0,2,0,,0.99806606,false,0,LOC_Os03g53790,N/A,N/A,2688822,0.5,0,0,0,0
LOC_Os07g31750,4.620885819,0,0.216408723,0,0,0,1,9,false,5,0,1,0,,0.998624806,false,0,LOC_Os07g31750,MEDIUM CONFIDENCE (Weighted),MEDIUM CONFIDENCE (Unweighted),0,0,0,1,1,0
LOC_Os08g38710,5.197248505,0,0.192409503,0,0,0,1,10,false,4,0,1,0,stachyose degradation,0.998405906,false,0,LOC_Os08g38710,N/A,N/A,0,0,0,0,0,0
LOC_Os02g58150,4.347593893,6.71E-07,0.230012284,0,0,0,3,9,false,3.666666667,0,3,0,,0.998728601,false,0,LOC_Os02g58150,N/A,N/A,3402,0.333333333,0,0,0,0
LOC_Os08g03480,4.74151042,0,0.210903259,0,0,0,1,9,false,3,0,1,0,,0.998578993,false,0,LOC_Os08g03480,N/A,N/A,0,0,0,0,0,0
LOC_Os04g37480,4.078945841,0,0.245161382,0,1,0,1,9,false,16,0,1,0,2'-deoxymugineic acid phytosiderophore biosynthesis,0.998830632,false,0,LOC_Os04g37480,TRAINING,N/A,0,0,1,0,1,0
LOC_Os03g48010,4.32576769,0,0.23117284,0,0,0,1,9,false,9,0,1,0,,0.99873689,false,0,LOC_Os03g48010,N/A,N/A,0,0,0,0,0,0
LOC_Os12g32130,5.058686945,0,0.197679756,1,0,0,2,10,false,2.5,0,2,0,trehalose biosynthesis I,0.998458531,false,0,LOC_Os12g32130,N/A,MEDIUM CONFIDENCE (Weighted),0,0.833333333,0,0,0,1
LOC_Os05g03810,5.058686945,0,0.197679756,1,0,0,2,10,false,2.5,0,2,0,trehalose biosynthesis I,0.998458531,false,0,LOC_Os05g03810,MEDIUM CONFIDENCE (Weighted),MEDIUM CONFIDENCE (Weighted),0,0.833333333,0,0,1,1
LOC_Os06g05209,4.188889534,0,0.238726754,0,0,0,1,9,false,19,0,1,0,,0.998788876,false,0,LOC_Os06g05209,N/A,MEDIUM CONFIDENCE (Unweighted),0,0,0,1,0,0
LOC_Os06g05272,4.188889534,0,0.238726754,0,0,0,1,9,false,19,0,1,0,,0.998788876,false,0,LOC_Os06g05272,N/A,N/A,0,0,0,0,0,0
LOC_Os11g45620,4.074534161,2.11E-05,0.245426829,0.333333333,0,0,3,9,false,8.333333333,0,3,0,,0.998832308,false,0,LOC_Os11g45620,N/A,HIGH CONFIDENCE,506296,0.380952381,0,1,0,1
LOC_Os07g11380,4.323677947,1.03E-04,0.231284571,0.6,0,0,5,9,false,4.8,0,5,0,,0.998737684,false,0,LOC_Os07g11380,N/A,N/A,3235720,0.418181818,0,0,0,0
LOC_Os10g40260,4.183723225,0,0.239021548,0,0,0,1,9,false,5,0,1,0,,0.998790838,false,0,LOC_Os10g40260,N/A,N/A,0,0,0,0,0,0
LOC_Os07g01370,5.474313578,2.32E-04,0.182671304,0,0,0,2,10,false,2.5,0,2,0,,0.998300678,false,0,LOC_Os07g01370,N/A,N/A,4444256,0.5,0,0,0,0
LOC_Os12g34524,6.474139432,1.16E-04,0.154460683,0,0,0,2,11,false,1.5,0,2,0,,0.99792095,false,0,LOC_Os12g34524,N/A,N/A,2222130,0.5,0,0,0,0
LOC_Os03g22010,7.474081384,0,0.133795707,0,1,0,1,12,false,2,0,1,0,,0.997541177,false,0,LOC_Os03g22010,TRAINING (WEIGHTED),N/A,0,0,0,0,1,0
LOC_Os04g01250,4.276716782,1.84E-08,0.233824228,0,0,0,2,9,false,5,0,2,0,,0.99875552,false,0,LOC_Os04g01250,N/A,N/A,396,0.571428571,0,0,0,0
LOC_Os05g06160,4.058803042,2.32E-04,0.246378055,0.333333333,0,0,3,9,false,13,0,3,0,trehalose biosynthesis I,0.998838282,false,0,LOC_Os05g06160,N/A,MEDIUM CONFIDENCE (Weighted),4432856,0.351851852,0,0,0,1
LOC_Os01g12030,3.931793115,0,0.254336882,0,0,0,1,8,false,60,0,1,0,,0.99888652,false,0,LOC_Os01g12030,N/A,N/A,0,0,0,0,0,0
LOC_Os07g48410,4.729204156,0,0.211452068,0,0,0,1,9,false,3,0,1,0,,0.998583667,false,0,LOC_Os07g48410,N/A,N/A,0,0,0,0,0,0
LOC_Os05g46480,5.082544842,0,0.19675183,0,0,0,1,10,false,2,0,1,0,,0.99844947,false,0,LOC_Os05g46480,N/A,MEDIUM CONFIDENCE (Weighted),0,0,0,0,0,1
LOC_Os02g05440,5.015266732,1.16E-04,0.19939119,0,0,0,2,9,false,1.5,0,2,0,,0.998475022,false,0,LOC_Os02g05440,N/A,N/A,3540214,0.5,0,0,0,0
